OBJECTID,state_number,nhs_rest_stop,highway_route,mile_post,municipality,county,state,latitude,longitude,number_of_spots,x,y
491,20,NHS Rest Stop or Truck Facility 30,US 54,300,Greenwood,Greenwood,KS,37.83686,-95.9884,3,-95.9884000003498,37.8368600001428
492,20,NHS Rest Stop or Truck Facility 29,US 50E,91,Ingalls,Gray,KS,37.85805,-100.522,5,-100.521999999807,37.8580500001839
493,20,NHS Rest Stop or Truck Facility 5,I135N,23,Harvey County,Harvey,KS,37.93045,-97.3279,12,-97.3279000001918,37.9304500000334
494,20,NHS Rest Stop or Truck Facility 4,I-135S,23,Harvey County,Harvey,KS,37.93339,-97.3281,12,-97.3281000002083,37.933390000131
495,20,NHS Rest Stop or Truck Facility 28,US 50,196,Stafford County,Stafford,KS,37.95571,-98.7092,6,-98.7091999998976,37.9557099997446
496,20,NHS Rest Stop or Truck Facility 36,US 75,80,Yates Center,Woodson,KS,37.96017,-95.7392,3,-95.7392000004009,37.960170000145
497,20,NHS Rest Stop or Truck Facility 1,Hwy156,24,Kalvesta,Finney,KS,38.05895,-100.461,7,-100.461000000152,38.0589499999675
498,20,NHS Rest Stop or Truck Facility 35,US 69,96,Trading Post,Linn,KS,38.258659,-94.671407,16,-94.6714069997956,38.2586589998393
499,20,NHS Rest Stop or Truck Facility 2,I-135N,68,McPherson,McPherson,KS,38.481905,-97.620381,10,-97.6203810003112,38.4819049998192
500,20,NHS Rest Stop or Truck Facility 3,I-135S,68,McPherson,McPherson,KS,38.486,-97.620735,10,-97.6207350003135,38.4859999996808
501,20,NHS Rest Stop or Truck Facility 6,I-35N,175,Homewood,Franklin,KS,38.524977,-95.405992,13,-95.4059920002953,38.5249769996938
502,20,NHS Rest Stop or Truck Facility 7,I-35S,175,Homewood,Franklin,KS,38.527562,-95.405906,13,-95.4059060000815,38.5275619996857
503,20,NHS Rest Stop or Truck Facility 25,I-70W,224,Ellsworth,Ellsworth,KS,38.85645,-98.1332,10,-98.13319999987,38.8564500002041
504,20,NHS Rest Stop or Truck Facility 24,I-70E,224,Ellsworth,Ellsworth,KS,38.85659,-98.1224,8,-98.1223999998751,38.8565899996626
505,20,NHS Rest Stop or Truck Facility 14,I-70E,187,Russell,Russell,KS,38.858339,-98.814917,10,-98.814916999824,38.8583390001075
506,20,NHS Rest Stop or Truck Facility 15,I-70W,187,Russell,Russell,KS,38.859451,-98.815251,10,-98.8152509997349,38.8594510000204
507,20,NHS Rest Stop or Truck Facility 20,I-70W,265,Solomon,Abilene,KS,38.926495,-97.394742,12,-97.3947420001594,38.9264950000103
508,20,NHS Rest Stop or Truck Facility 21,I-70W,265,Solomon,Abilene,KS,38.927741,-97.394646,12,-97.3946459999,38.9277410000347
509,20,NHS Rest Stop or Truck Facility 33,US 81S,161,Bennington,Ottawa,KS,38.95989,-97.6411,5,-97.641100000044,38.95989000025
510,20,NHS Rest Stop or Truck Facility 34,US 81N,161,Bennington,Ottawa,KS,38.96296,-97.6412,5,-97.6411999996031,38.9629599999834
511,20,NHS Rest Stop or Truck Facility 13,I-70W,133,Wakeeny,Trego,KS,38.996673,-99.78899,10,-99.788990000224,38.9966730001342
512,20,NHS Rest Stop or Truck Facility 12,I-70E,132,Wakeeny,Trego,KS,38.998989,-99.804942,10,-99.80494200007,38.9989889997245
513,20,NHS Rest Stop or Truck Facility 17,I-70E,336,Paxico,Wabaunsee,KS,39.059341,-96.120983,12,-96.12098299992,39.0593409996611
514,20,NHS Rest Stop or Truck Facility 18,I-70W,336,Paxico,Wabaunsee,KS,39.060191,-96.121412,14,-96.1214120002654,39.0601910003154
515,20,NHS Rest Stop or Truck Facility 27,I-70W,310,Geary,Junction City,KS,39.0656,-96.6143,10,-96.6142999995637,39.0655999999374
516,20,NHS Rest Stop or Truck Facility 26,I-70E,309,Geary,Junction City,KS,39.06638,-96.6227,14,-96.6227000002584,39.0663800000513
517,20,NHS Rest Stop or Truck Facility 10,I-70E,97,Grainfield,Gove,KS,39.099511,-100.428334,10,-100.428334000029,39.099511000264
518,20,NHS Rest Stop or Truck Facility 11,I-70W,97,Grainfield,Gove,KS,39.100117,-100.426164,10,-100.426163999984,39.100116999838
519,20,NHS Rest Stop or Truck Facility 39,I-70E,8,Goodland,Sherman,KS,39.3283,-101.9031,10,-101.903100000395,39.3283000000105
520,20,NHS Rest Stop or Truck Facility 19,I-70W,7,Goodland,Sherman,KS,39.330314,-101.916067,10,-101.916067000062,39.3303140000843
521,20,NHS Rest Stop or Truck Facility 8,I-70E,49,Colby,Thomas,KS,39.365614,-101.15585,10,-101.155850000352,39.3656140003221
522,20,NHS Rest Stop or Truck Facility 9,I-70W,48,Colby,Thomas,KS,39.366686,-101.150093,10,-101.150093000429,39.3666860000743
523,21,US-51/Julian Carroll Pkwy Weigh Station,KY-9003 Carroll Pkwy,1,Fulton,Fulton,KY,36.507,-88.897,3,-88.8969999995541,36.5069999999996
524,21,I-75 North Whitley County Welcome Center,I-75N,2,NA,Whitley,KY,36.616,-84.105,20,-84.105000000285,36.6160000000121
525,21,I-65 North Simpson County Welcome Center,I-65N,2,Franklin,Simpson,KY,36.643,-86.569,43,-86.5690000001536,36.6429999996625
526,21,I-24 Westbound Christian CountyWelcome Center,I-24W,93,NA,Christian,KY,36.650276,-87.352166,29,-87.3521659999146,36.6502759997174
527,21,I-65 North Simpson County Weigh Station,I-65N,4,Franklin,Simpson,KY,36.687,-86.538,50,-86.5380000002847,36.687000000112
528,21,I-75 North Laurel County Weigh Station/Rest Haven,I-75N,33,NA,Laurel,KY,37.043,-84.097,50,-84.0969999996234,37.0429999997825
529,21,I-75 South Laurel County Weigh Station/Rest Haven,I-75S,33,NA,Laurel,KY,37.047,-84.099,50,-84.0989999997888,37.0470000000499
530,21,I-24 East Paducah Welcome Center,I-24E,7,Paducah,McCracken,KY,37.052,-88.653,15,-88.6530000000352,37.0520000000678
531,21,I-24 East Lyon County Weigh Station,I-24E,36,NA,Lyon,KY,37.061,-88.184,46,-88.1839999998739,37.0609999998283
532,21,I-24 West Lyon County Weigh Station,I-24W,36,NA,Lyon,KY,37.061,-88.184,46,-88.1839999998739,37.0609999998283
533,21,I-65 North Hart County Rest Area,I-65N,60,NA,Hart,KY,37.238692,-85.92821,135,-85.9282100002023,37.2386919999306
534,21,I-65 South Hart County Rest Area,I-65S,60,NA,Hart,KY,37.239062,-85.929105,135,-85.9291049998047,37.2390619998033
535,21,Western Ky Pkwy Beaver Dam Rest Area,KY-9001 W  Ky Pkwy,76,Beaver Dam,Ohio,KY,37.376,-86.828,30,-86.8280000000148,37.3759999998475
536,21,I-65 South Hardin County Weigh Station,I-65S,90,Elizabethtown,Hardin,KY,37.654,-85.857,8,-85.8569999996578,37.6539999997244
537,21,Mountain Pkwy Rest Area,KY-9000 Mtn Pkwy,33,Slade,Powell,KY,37.796,-83.702,6,-83.7020000001924,37.7959999997642
538,21,US41 Southbound Weigh Station,US-41,21,Henderson,Henderson,KY,37.919,-87.549,35,-87.5490000003566,37.9190000000457
539,21,I-65 South Shepherdsville Welcome Center,I-65S,113,Shepherdsville,Bullitt,KY,37.946,-85.691,26,-85.6910000003018,37.9459999999794
540,21,I-64 East Clark County Rest Area,I-64E,98,NA,Clark,KY,38.021311,-84.141191,12,-84.1411910003632,38.0213109999232
